brand,details,price,year,mileage,fuel,gearbox,power
renault,Serviska cebia VIN MAILEM,79000,2010,239000,Nafta,Manuální,82.0
subaru,"2,0 Active Combi, nová spojka",72000,2009,189704,Nafta,Manuální,110.0
nissan,1.9 dCi First Class,40000,2003,207000,Nafta,Manuální,96.0
nissan,2.5 DCI 140 kw 4x4 7 MÍST,435600,2011,159000,Nafta,Manuální,140.0
audi,"1.8I, TOP STAV!!!",159000,1991,189000,Benzín,Unknown,165.0
peugeot,"308 ACTIVE 1,6 e-hdi 115",139900,2015,160050,Nafta,Manuální,90.0
mercedes-benz,350Cdi LONG 4Matic CZ 1Majitel,2256650,2016,20000,Nafta,Automatická,146.0
mercedes-benz,"200i,kompressor,Elegance",199000,1997,122624,Benzín,Manuální,146.0
fiat,1.1i 60CL,85600,1983,173150,Benzín,Manuální,70.0
hyundai,"Turbo,Traveller, digi AC",319900,2019,79800,Benzín,Manuální,99.0
subaru,2.5 Touring Hnědá kůže 2025,1229000,2026,0,Benzín,Automatická,110.0
subaru,2.5 Comfort+kůže 2025,1039000,2026,0,Benzín,Automatická,110.0
subaru,2.5 Touring Tmavá kůže 2025,1229000,2026,0,Benzín,Automatická,110.0
fiat,"1,3 MULTIJET",48000,2007,159765,Nafta,Manuální,70.0
subaru,2.0i Sport.4x4.Klima.Závěs,99000,2005,154482,Benzín,Manuální,110.0
fiat,1.9 TD SX DIGIKLIMA,84900,1996,180450,Nafta,Manuální,70.0
nissan,"1,0i",69999,2009,176600,Benzín,Manuální,96.0
subaru,2.0i.AWD.Dg.klima.Rozvody,49900,2002,291768,Benzín,Manuální,110.0
subaru,"2,0TD",119900,2010,228000,Nafta,Manuální,110.0
honda,2.0i-Vtec.7.Míst.Kuže.115kw,65000,2003,231635,Benzín,Manuální,115.0
fiat,"1,6 JTD  LIVING - klima -ALU",199990,2014,70798,Nafta,Manuální,70.0
honda,1.5e:HEV Crosstar Advance,599900,2026,10,Hybridní,Automatická,108.0
honda,1.5e:HEV Advance,569900,2026,10,Hybridní,Automatická,108.0
renault,2DCI 127KWcebia vin maile,69000,2009,198000,Nafta,Automatická,127.0
honda,1.5 e:HEV Hybrid Advance,569900,2026,10,Hybridní,Automatická,108.0
subaru,"2,0 AWD 4x4 DVD Navig 16V X AC",119900,2008,143109,LPG + benzín,Manuální,110.0
subaru,"2,0i AWD AT",280000,2014,102000,Benzín,Automatická,110.0
nissan,1.0 114k DCT N-Connecta+cold,507700,2025,1,Benzín,Automatická,96.0
bmw,"5,6 850 CSI 280 kW 1. Majitel",1999999,1992,146800,Benzín,Manuální,280.0
volvo,"2,0T 203PS Xenony/Navi",218800,2010,166521,Benzín,Manuální,145.0
ford,800 HP !! Kompresor,725000,2018,10000,Benzín,Automatická,110.0
mercedes-benz,"55 AMG 5,5 CZ 30'900km Serv.kn",2499999,2001,30900,Benzín,Automatická,146.0
ford,"800 HP, nova STK, nove pneu",750000,2018,25000,Benzín,Manuální,110.0
hyundai,"1,6 TGDi SMART 4x2",614900,2025,5300,Benzín,Manuální,99.0
fiat,"TwinAir TURBO, 0.9T,63kW(86PS)",154000,2012,48566,Benzín,Manuální,63.0
subaru,"2,5i TOURING  MY25.5",1315000,2025,15,Benzín,Automatická,110.0
subaru,"2,5i TOURING MY25.5",1315000,2025,15,Benzín,Automatická,110.0
subaru,2.5 Touring tmavá kůže 2025,1219000,2026,0,Benzín,Automatická,110.0
renault,7 míst cebia,129000,2014,248000,Nafta,Automatická,82.0
mercedes-benz,S 280 W108,419000,1970,70500,Benzín,Manuální,146.0
nissan,"2,5 DCI 4x4 7míst",329900,2012,136805,Nafta,Manuální,96.0
subaru,"2,5i TOURING MY25.5",1315000,2025,11,Benzín,Automatická,110.0
peugeot,"1,6HDI KLIMA EL.OKNA PDC ESP",129000,2008,144156,Nafta,Manuální,90.0
fiat,"1,2 i  Lounge / klima / LPG",139900,2013,153633,LPG + benzín,Manuální,70.0
fiat,"2,0 JTD 8MÍST *KLIMATIZACE *",149900,2007,260724,Nafta,Manuální,70.0
volkswagen,2.0 TDi DSG Zimní kola,389000,2017,140305,Nafta,Automatická,110.0
nissan,1.3 158 Xtr N-Connecta,695700,2025,1,Benzín,Automatická,96.0
ford,GT levný provoz LPG,535000,2016,120000,LPG + benzín,Automatická,110.0
nissan,"2,0 dci 4x4+AUTOMAT",114999,2007,199856,Nafta,Automatická,96.0
renault,CEBIA 7 MIST VIN MAILEM,119000,2012,229000,Nafta,Automatická,82.0
nissan,"1,5",188900,2011,160491,Nafta,Manuální,96.0
nissan,2.0  104 kw 4x4 1. majitel,99000,2009,155000,Benzín,Manuální,104.0
honda,Tourer 2.2i-CTDi Sport,84000,2006,326000,Nafta,Manuální,108.0
fiat,"1,2 8V",69900,2010,126127,Benzín,Manuální,70.0
nissan,"2,0",197900,2012,107447,Nafta,Automatická,96.0
