iter	RMSE
0	0.8418102686
1	0.7909941928
2	0.7448908241
3	0.7024912027
4	0.6657123275
5	0.6311272814
6	0.6008472167
7	0.5724943335
8	0.5469276055
9	0.5245222248
10	0.5044742105
11	0.4857584147
12	0.4703097995
13	0.4559646252
14	0.4428464202
15	0.4315261315
16	0.4206635949
17	0.4112891398
18	0.4029028224
19	0.3953222892
20	0.3881500244
21	0.3811948606
22	0.375331449
23	0.3702698254
24	0.3656701559
25	0.3617521131
26	0.3583209815
27	0.3551411711
28	0.3525365445
29	0.3498069566
30	0.3473986039
31	0.3448308288
32	0.3426780608
33	0.3399680337
34	0.3378644192
35	0.3358408901
36	0.3341562389
37	0.3327904852
38	0.3314188835
39	0.3296239017
40	0.328286501
41	0.327147345
42	0.325908424
43	0.3243216803
44	0.3230554485
45	0.3222554471
46	0.3213993676
47	0.3206529766
48	0.3195673416
49	0.3187498315
50	0.3180933554
51	0.317225894
52	0.3165823963
53	0.3160248247
54	0.3155598556
55	0.3151247823
56	0.3145773187
57	0.3141179805
58	0.3136334667
59	0.3127146902
60	0.3121495717
61	0.3113924285
62	0.3108973779
63	0.3104194648
64	0.309870192
65	0.3093711531
66	0.3089069756
67	0.3084388667
68	0.3077800794
69	0.3072897855
70	0.3067894614
71	0.306484166
72	0.3058954083
73	0.305482147
74	0.3051638016
75	0.3046758765
76	0.3044822758
77	0.3039562284
78	0.3036183436
79	0.3030875803
80	0.3027216531
81	0.3023464559
82	0.30206446
83	0.3018588771
84	0.3014474371
85	0.3010275104
86	0.3007491002
87	0.3005819443
88	0.3000080596
89	0.2998062832
90	0.2996357769
91	0.2993244449
92	0.2991350508
93	0.2987873723
94	0.2985360437
95	0.2980984087
96	0.297684856
97	0.2974113438
98	0.2972068852
99	0.2969924714
100	0.296741195
101	0.2964839458
102	0.2962158705
103	0.2958654923
104	0.2956864205
105	0.2952688511
106	0.2949692964
107	0.2946661256
108	0.2944764432
109	0.2942739372
110	0.2940852863
111	0.2938989888
112	0.2936953292
113	0.2934903702
114	0.2933867443
115	0.2930594269
116	0.2928067582
117	0.2926469826
118	0.2924571116
119	0.2922405306
120	0.2920211362
121	0.2918718588
122	0.2916405461
123	0.2913742924
124	0.2912224275
125	0.2909846469
126	0.2907948195
127	0.2905840474
128	0.290354591
129	0.2902008594
130	0.2899314774
131	0.2897530587
132	0.2894360924
133	0.2891855839
