iter	Passed	Remaining
0	62	94423
1	68	50955
2	74	37254
3	80	30073
4	85	25430
5	90	22410
6	93	19996
7	98	18288
8	103	17108
9	109	16259
10	114	15514
11	119	14857
12	124	14192
13	128	13681
14	133	13229
15	137	12787
16	143	12495
17	148	12209
18	152	11880
19	156	11604
20	161	11390
21	168	11340
22	172	11100
23	177	10932
24	184	10904
25	190	10782
26	195	10646
27	200	10540
28	205	10417
29	211	10341
30	215	10218
31	219	10079
32	224	9968
33	228	9837
34	232	9743
35	237	9677
36	242	9584
37	247	9520
38	252	9467
39	257	9380
40	260	9284
41	265	9233
42	270	9148
43	273	9049
44	277	8961
45	282	8941
46	287	8888
47	293	8875
48	298	8825
49	302	8759
50	308	8756
51	312	8707
52	318	8701
53	324	8697
54	330	8688
55	335	8640
56	340	8612
57	345	8586
58	349	8538
59	355	8521
60	361	8525
61	366	8504
62	371	8466
63	375	8434
64	380	8407
65	385	8366
66	389	8323
67	394	8298
68	398	8274
69	404	8258
70	407	8206
71	413	8197
72	417	8165
73	422	8140
74	427	8120
75	433	8114
76	438	8101
77	444	8094
78	449	8077
79	453	8055
80	458	8025
81	462	8000
82	467	7985
83	473	7983
84	479	7983
85	484	7961
86	488	7940
87	493	7918
88	497	7889
89	501	7864
90	507	7860
91	511	7831
92	517	7822
93	521	7797
94	526	7781
95	533	7809
96	539	7800
97	546	7814
98	560	7935
99	577	8079
100	583	8079
101	589	8080
102	595	8082
103	600	8058
104	605	8037
105	608	7999
106	612	7972
107	617	7961
108	622	7949
109	627	7930
110	632	7914
111	638	7907
112	642	7889
113	647	7868
114	652	7853
115	656	7829
116	661	7814
117	668	7825
118	674	7823
119	680	7831
120	685	7812
121	690	7798
122	695	7780
123	699	7757
124	703	7740
125	708	7722
126	712	7704
127	717	7688
128	722	7676
129	727	7667
130	731	7646
131	736	7629
132	740	7609
133	744	7589
134	749	7581
135	753	7554
136	757	7539
137	763	7532
138	768	7520
139	773	7510
140	778	7504
141	784	7501
142	790	7496
143	795	7487
144	800	7478
145	805	7473
146	810	7460
147	815	7448
148	820	7442
149	825	7426
150	829	7414
151	834	7397
152	839	7386
153	843	7372
154	849	7367
155	854	7359
156	858	7347
157	864	7339
158	869	7329
159	873	7312
160	877	7298
161	882	7290
162	888	7283
163	893	7276
164	899	7274
165	903	7263
166	909	7256
167	913	7241
168	918	7232
169	923	7222
170	927	7208
171	931	7194
172	936	7183
173	940	7169
174	944	7151
175	949	7145
176	953	7127
177	958	7117
178	963	7113
179	967	7095
180	972	7086
181	977	7077
182	981	7063
183	986	7053
184	991	7044
185	995	7032
186	1000	7022
187	1004	7008
188	1010	7008
189	1015	6999
190	1019	6989
191	1023	6973
192	1027	6956
193	1032	6952
194	1037	6944
195	1041	6932
196	1047	6928
197	1052	6920
198	1055	6903
199	1060	6890
200	1066	6889
201	1073	6897
202	1078	6890
203	1082	6880
204	1087	6868
205	1092	6864
206	1098	6860
207	1102	6847
208	1106	6833
209	1111	6827
210	1115	6817
211	1121	6811
212	1125	6803
213	1130	6793
214	1135	6785
215	1141	6785
216	1147	6782
217	1153	6781
218	1158	6778
219	1165	6779
220	1170	6773
221	1175	6767
222	1181	6763
223	1185	6755
224	1190	6744
225	1195	6737
226	1199	6724
227	1203	6716
228	1208	6705
229	1213	6698
230	1219	6696
231	1225	6696
232	1229	6684
233	1233	6674
234	1238	6667
235	1243	6659
236	1247	6648
237	1252	6642
238	1256	6627
239	1260	6615
240	1263	6602
241	1269	6599
242	1273	6589
243	1279	6584
244	1284	6581
245	1289	6573
246	1294	6569
247	1299	6559
248	1305	6557
249	1310	6554
250	1314	6541
251	1319	6535
252	1323	6525
253	1330	6525
254	1335	6518
255	1339	6507
256	1344	6502
257	1351	6507
258	1356	6500
259	1361	6492
260	1365	6481
261	1370	6475
262	1374	6466
263	1379	6456
264	1383	6449
265	1389	6444
266	1394	6437
267	1397	6425
268	1402	6419
269	1408	6417
270	1414	6413
271	1418	6406
272	1423	6399
273	1429	6396
274	1435	6393
275	1438	6380
276	1444	6376
277	1451	6378
278	1455	6368
279	1459	6359
280	1462	6346
281	1467	6339
282	1471	6327
283	1477	6324
284	1482	6319
285	1486	6311
286	1491	6302
287	1495	6291
288	1500	6285
289	1503	6275
290	1509	6271
291	1513	6259
292	1517	6250
293	1522	6244
294	1526	6235
295	1531	6229
296	1536	6223
297	1540	6214
298	1545	6208
299	1549	6197
300	1554	6192
301	1559	6187
302	1564	6180
303	1569	6175
304	1573	6165
305	1578	6160
306	1582	6151
307	1587	6144
308	1592	6137
309	1597	6131
310	1601	6121
311	1606	6118
312	1619	6142
313	1625	6139
314	1630	6132
315	1633	6119
316	1637	6109
317	1641	6101
318	1645	6091
319	1650	6085
320	1655	6079
321	1658	6068
322	1662	6059
323	1668	6054
324	1672	6048
325	1676	6039
326	1681	6030
327	1685	6021
328	1690	6017
329	1694	6007
330	1699	6000
331	1703	5994
332	1708	5988
333	1713	5983
334	1719	5978
335	1723	5971
336	1728	5964
337	1731	5953
338	1736	5945
339	1741	5940
340	1746	5936
341	1751	5928
342	1754	5919
343	1759	5911
344	1763	5903
345	1769	5901
346	1774	5895
347	1779	5890
348	1783	5883
349	1788	5876
350	1791	5865
351	1795	5856
352	1800	5848
353	1804	5842
354	1808	5834
355	1813	5828
356	1817	5819
357	1822	5812
358	1826	5805
359	1831	5800
360	1837	5796
361	1841	5790
362	1847	5787
363	1853	5783
364	1856	5773
365	1860	5765
366	1866	5761
367	1870	5752
368	1874	5746
369	1878	5738
370	1883	5731
371	1888	5726
372	1894	5724
373	1899	5720
374	1904	5712
375	1909	5708
376	1913	5700
377	1918	5694
378	1923	5687
379	1927	5680
380	1932	5676
381	1936	5666
382	1940	5659
383	1945	5654
384	1949	5645
385	1953	5638
386	1959	5636
387	1964	5630
388	1969	5626
389	1974	5619
390	1978	5612
391	1983	5605
392	1988	5599
393	1992	5593
394	1996	5586
395	2002	5582
396	2007	5576
397	2012	5573
398	2017	5566
399	2022	5561
400	2028	5558
401	2032	5552
402	2037	5547
403	2043	5544
404	2048	5539
405	2053	5532
406	2058	5528
407	2064	5526
408	2068	5518
409	2074	5515
410	2079	5509
411	2083	5502
412	2087	5494
413	2092	5489
414	2096	5480
415	2099	5471
416	2103	5463
417	2108	5456
418	2113	5451
419	2117	5445
420	2122	5439
421	2126	5431
422	2130	5424
423	2135	5418
424	2140	5413
425	2144	5407
426	2150	5403
427	2155	5399
428	2161	5395
429	2166	5390
430	2172	5387
431	2177	5382
432	2181	5376
433	2186	5371
434	2192	5366
435	2195	5358
436	2200	5353
437	2205	5348
438	2209	5339
439	2214	5334
440	2219	5329
441	2223	5322
442	2228	5318
443	2232	5309
444	2236	5301
445	2242	5299
446	2248	5296
447	2252	5290
448	2258	5287
449	2263	5280
450	2267	5273
451	2271	5265
452	2276	5260
453	2281	5256
454	2285	5249
455	2290	5244
456	2296	5241
457	2301	5235
458	2307	5232
459	2311	5225
460	2315	5219
461	2319	5212
462	2325	5208
463	2329	5201
464	2334	5196
465	2340	5193
466	2345	5187
467	2349	5180
468	2352	5172
469	2356	5163
470	2360	5157
471	2365	5151
472	2369	5144
473	2373	5137
474	2377	5129
475	2381	5122
476	2385	5116
477	2391	5113
478	2396	5107
479	2401	5102
480	2406	5097
481	2411	5092
482	2415	5086
483	2420	5080
484	2426	5077
485	2431	5072
486	2437	5069
487	2442	5064
488	2447	5060
489	2452	5055
490	2457	5050
491	2462	5045
492	2467	5040
493	2471	5033
494	2475	5025
495	2480	5020
496	2484	5014
497	2489	5009
498	2494	5003
499	2498	4997
500	2503	4992
501	2508	4986
502	2513	4981
503	2517	4975
504	2523	4971
505	2528	4967
506	2532	4961
507	2536	4953
508	2541	4948
509	2544	4940
510	2549	4933
511	2553	4928
512	2558	4922
513	2562	4915
514	2567	4909
515	2570	4902
516	2574	4894
517	2579	4889
518	2585	4886
519	2589	4881
520	2593	4873
521	2597	4866
522	2602	4860
523	2605	4853
524	2612	4850
525	2617	4846
526	2621	4840
527	2625	4834
528	2630	4829
529	2636	4824
530	2640	4818
531	2645	4814
532	2650	4808
533	2653	4800
534	2658	4794
535	2662	4788
536	2666	4781
537	2672	4777
538	2676	4771
539	2680	4765
540	2684	4758
541	2690	4755
542	2695	4750
543	2699	4744
544	2704	4738
545	2708	4732
546	2713	4727
547	2719	4723
548	2723	4717
549	2727	4711
550	2732	4705
551	2737	4700
552	2741	4695
553	2747	4692
554	2753	4688
555	2757	4682
556	2762	4677
557	2766	4669
558	2771	4664
559	2776	4661
560	2781	4656
561	2787	4651
562	2792	4647
563	2796	4641
564	2802	4636
565	2806	4630
566	2811	4625
567	2815	4620
568	2821	4616
569	2825	4609
570	2830	4604
571	2833	4597
572	2838	4592
573	2844	4588
574	2848	4582
575	2852	4575
576	2856	4569
577	2859	4561
578	2863	4555
579	2870	4552
580	2876	4549
581	2881	4544
582	2886	4539
583	2890	4533
584	2897	4531
585	2901	4526
586	2907	4522
587	2912	4516
588	2916	4511
589	2920	4505
590	2925	4500
591	2930	4494
592	2933	4487
593	2938	4481
594	2943	4476
595	2947	4471
596	2951	4464
597	2956	4459
598	2961	4454
599	2966	4450
600	2972	4445
601	2976	4440
602	2982	4436
603	2986	4430
604	2992	4426
605	2996	4420
606	3001	4415
607	3005	4408
608	3009	4402
609	3014	4397
610	3019	4393
611	3022	4386
612	3027	4380
613	3031	4374
614	3036	4369
615	3040	4363
616	3044	4357
617	3050	4353
618	3054	4347
619	3059	4343
620	3063	4336
621	3068	4331
622	3073	4326
623	3078	4321
624	3082	4314
625	3086	4309
626	3091	4303
627	3095	4297
628	3100	4293
629	3105	4288
630	3110	4283
631	3116	4279
632	3120	4273
633	3125	4268
634	3129	4262
635	3134	4257
636	3138	4252
637	3143	4247
638	3147	4241
639	3152	4236
640	3157	4231
641	3162	4226
642	3166	4220
643	3172	4216
644	3177	4212
