id,brand,model_name,price,year,mileage,fuel,gearbox,power,url,parsed_at
68659527,renault,"Renault Grand Espace, Serviska cebia VIN MAILEM",79000,2010,223000,Nafta,Automatická,,https://www.sauto.cz/osobni/detail/renault/car/68659527,2026-02-03 14:28:54
68758282,subaru,"Subaru Legacy, 2,0 Active Combi, nová spojka",77000,2009,189704,Nafta,Manuální,,https://www.sauto.cz/osobni/detail/subaru/car/68758282,2026-02-03 14:33:37
68760187,nissan,"Nissan Primera, 1.9 dCi First Class",40000,2003,207000,Nafta,Manuální,,https://www.sauto.cz/osobni/detail/nissan/car/68760187,2026-02-03 14:33:04
68763727,nissan,"Nissan Pathfinder, 2.5 DCI 140 kw 4x4 7 MÍST",435600,2011,159000,Nafta,Manuální,,https://www.sauto.cz/osobni/detail/nissan/car/68763727,2026-02-03 14:33:04
68804762,audi,"Audi 80, 1.8I, TOP STAV!!!",159000,1991,189000,Benzín,,,https://www.sauto.cz/osobni/detail/audi/car/68804762,2026-02-03 14:26:14
68816102,peugeot,"Peugeot 308, 308 ACTIVE 1,6 e-hdi 115",149999,2015,160050,Nafta,Manuální,,https://www.sauto.cz/osobni/detail/peugeot/car/68816102,2026-02-03 14:29:40
69060702,fiat,"Fiat Ritmo, 1.1i 60CL",85600,1983,173150,Benzín,Manuální,,https://www.sauto.cz/osobni/detail/fiat/car/69060702,2026-02-03 14:31:51
69542767,subaru,"Subaru Outback, 2.5 Touring Hnědá kůže 2025",1199000,2026,0,Benzín,Automatická,,https://www.sauto.cz/osobni/detail/subaru/car/69542767,2026-02-03 14:46:17
69544127,subaru,"Subaru Outback, 2.5 Comfort+kůže 2025",1049000,2026,0,Benzín,Automatická,,https://www.sauto.cz/osobni/detail/subaru/car/69544127,2026-02-03 14:46:17
71800037,fiat,"Fiat Linea, 1,3 MULTIJET",48000,2007,159765,Nafta,Manuální,,https://www.sauto.cz/osobni/detail/fiat/car/71800037,2026-02-03 14:31:35
74406707,subaru,"Subaru Impreza, 2.0i Sport.4x4.Klima.Závěs",99000,2005,154482,Benzín,Manuální,,https://www.sauto.cz/osobni/detail/subaru/car/74406707,2026-02-03 14:46:17
77409702,fiat,"Fiat Tempra, 1.9 TD SX DIGIKLIMA",84900,1996,180450,Nafta,Manuální,,https://www.sauto.cz/osobni/detail/fiat/car/77409702,2026-02-03 14:31:50
90850507,nissan,"Nissan Pixo, 1,0i",69999,2009,176600,Benzín,Manuální,,https://www.sauto.cz/osobni/detail/nissan/car/90850507,2026-02-03 14:33:04
91902497,subaru,"Subaru Legacy, 2.0i.AWD.Dg.klima.Rozvody",49900,2002,291768,Benzín,Manuální,,https://www.sauto.cz/osobni/detail/subaru/car/91902497,2026-02-03 14:46:17
96167097,renault,"Renault Clio, 1.5dCi 63kW+KLIMA",44000,2006,150692,Nafta,Manuální,,https://www.sauto.cz/osobni/detail/renault/car/96167097,2026-02-03 14:29:16
98686035,subaru,"Subaru Forester, 2,0TD",119900,2010,228000,Nafta,Manuální,,https://www.sauto.cz/osobni/detail/subaru/car/98686035,2026-02-03 14:46:17
107836585,honda,"Honda Stream, 2.0i-Vtec.7.Míst.Kuže.115kw",65000,2003,231635,Benzín,Manuální,,https://www.sauto.cz/osobni/detail/honda/car/107836585,2026-02-03 14:32:40
109891725,fiat,"Fiat 500L, 1,6 JTD  LIVING - klima -ALU",199990,2014,70798,Nafta,Manuální,,https://www.sauto.cz/osobni/detail/fiat/car/109891725,2026-02-03 14:31:51
113042770,honda,"Honda Jazz, 1.5e:HEV Crosstar Advance",595000,2026,10,Hybridní,Automatická,,https://www.sauto.cz/osobni/detail/honda/car/113042770,2026-02-03 14:32:37
114464745,honda,"Honda Jazz, 1.5e:HEV Advance",569900,2026,10,Hybridní,Automatická,,https://www.sauto.cz/osobni/detail/honda/car/114464745,2026-02-03 14:32:39
120532176,renault,"Renault Espace, 2l benzin  cebia vin maile",49000,2009,260000,Benzín,Manuální,,https://www.sauto.cz/osobni/detail/renault/car/120532176,2026-02-03 14:28:54
123916022,honda,"Honda Jazz, 1.5 e:HEV Hybrid Advance",569900,2026,10,Hybridní,Automatická,,https://www.sauto.cz/osobni/detail/honda/car/123916022,2026-02-03 14:32:40
125400198,subaru,"Subaru Legacy, 2,0 Alpine DVD Navigace  X ACT",119900,2008,143109,LPG + benzín,Manuální,,https://www.sauto.cz/osobni/detail/subaru/car/125400198,2026-02-03 14:46:17
125664983,opel,"Opel Insignia, 2,0T 147kW  GS Ultimate AT",579900,2021,68000,Benzín,Automatická,,https://www.sauto.cz/osobni/detail/opel/car/125664983,2026-02-03 14:30:48
130081843,subaru,"Subaru XV, 2,0i AWD AT",305000,2014,102000,Benzín,Automatická,,https://www.sauto.cz/osobni/detail/subaru/car/130081843,2026-02-03 14:46:17
131062868,nissan,"Nissan Juke, 1.0 114k DCT N-Connecta+cold",554800,2025,1,Benzín,Automatická,,https://www.sauto.cz/osobni/detail/nissan/car/131062868,2026-02-03 14:33:04
132502003,bmw,"BMW Řada 8, 5,6 850 CSI 280 kW 1. Majitel",1999999,1992,146800,Benzín,Manuální,,https://www.sauto.cz/osobni/detail/bmw/car/132502003,2026-02-03 14:25:28
137664912,mercedes-benz,"Mercedes-Benz CL, 55 AMG 5,5 CZ 30'900km Serv.kn",2499999,2001,30900,Benzín,Automatická,,https://www.sauto.cz/osobni/detail/mercedes-benz/car/137664912,2026-02-03 14:26:27
138466686,fiat,"Fiat 500, TwinAir TURBO, 0.9T,63kW(86PS)",154000,2012,48566,Benzín,Manuální,,https://www.sauto.cz/osobni/detail/fiat/car/138466686,2026-02-03 14:31:51
144500724,subaru,"Subaru Outback, 2,5i TOURING  MY25.5",1315000,2025,15,Benzín,Automatická,,https://www.sauto.cz/osobni/detail/subaru/car/144500724,2026-02-03 14:46:17
144500729,subaru,"Subaru Outback, 2,5i TOURING MY25.5",1315000,2025,15,Benzín,Automatická,,https://www.sauto.cz/osobni/detail/subaru/car/144500729,2026-02-03 14:46:15
144995027,subaru,"Subaru Outback, 2.5 Touring tmavá kůže 2025",1199000,2026,0,Benzín,Automatická,,https://www.sauto.cz/osobni/detail/subaru/car/144995027,2026-02-03 14:46:17
146734297,renault,"Renault Grand Espace, 7 míst cebia",69000,2010,237000,Nafta,Automatická,,https://www.sauto.cz/osobni/detail/renault/car/146734297,2026-02-03 14:28:54
147436624,hyundai,"Hyundai Tucson, 1,6 GDi Trikolor,1.majitel",389900,2020,89200,Benzín,Manuální,,https://www.sauto.cz/osobni/detail/hyundai/car/147436624,2026-02-03 14:27:41
147455649,hyundai,"Hyundai Tucson, T-GDi 4x4 ICEBRAKER, tažné z.",439900,2020,68700,Benzín,Manuální,,https://www.sauto.cz/osobni/detail/hyundai/car/147455649,2026-02-03 14:27:41
149101053,nissan,"Nissan Pathfinder, 2,5 DCI 4x4 7míst",329900,2012,136805,Nafta,Manuální,,https://www.sauto.cz/osobni/detail/nissan/car/149101053,2026-02-03 14:33:04
150182059,subaru,"Subaru Outback, 2,5i TOURING MY25.5",1315000,2025,11,Benzín,Automatická,,https://www.sauto.cz/osobni/detail/subaru/car/150182059,2026-02-03 14:46:05
151004882,opel,"Opel Mokka, 1.7 CDTi",169000,2013,159000,Nafta,Manuální,,https://www.sauto.cz/osobni/detail/opel/car/151004882,2026-02-03 14:30:34
153637777,fiat,"Fiat 500, 1,2 i  Lounge / klima / LPG",139900,2013,153633,LPG + benzín,Manuální,,https://www.sauto.cz/osobni/detail/fiat/car/153637777,2026-02-03 14:31:51
153781905,fiat,"Fiat Scudo, 2,0 JTD 8MÍST *KLIMATIZACE *",149900,2007,260724,Nafta,Manuální,,https://www.sauto.cz/osobni/detail/fiat/car/153781905,2026-02-03 14:31:51
154182146,nissan,"Nissan Qashqai, 1.3 158 Xtr N-Connecta",695700,2025,1,Benzín,Automatická,,https://www.sauto.cz/osobni/detail/nissan/car/154182146,2026-02-03 14:33:04
155318417,nissan,"Nissan Qashqai, 2,0 dci 4x4+AUTOMAT",114999,2007,199856,Nafta,Automatická,,https://www.sauto.cz/osobni/detail/nissan/car/155318417,2026-02-03 14:32:48
156423843,nissan,"Nissan Qashqai, 1,5",209900,2011,160491,Nafta,Manuální,,https://www.sauto.cz/osobni/detail/nissan/car/156423843,2026-02-03 14:33:04
159092971,nissan,"Nissan Qashqai, 2.0  104 kw 4x4 1. majitel",99000,2009,155000,Benzín,Manuální,,https://www.sauto.cz/osobni/detail/nissan/car/159092971,2026-02-03 14:33:04
159368286,honda,"Honda Accord, Tourer 2.2i-CTDi Sport",84000,2006,326000,Nafta,Manuální,,https://www.sauto.cz/osobni/detail/honda/car/159368286,2026-02-03 14:32:40
161172501,fiat,"Fiat Grande Punto, 1,2 8V",69900,2010,126127,Benzín,Manuální,,https://www.sauto.cz/osobni/detail/fiat/car/161172501,2026-02-03 14:31:46
161443621,nissan,"Nissan Qashqai, 2,0",219900,2012,107447,Nafta,Automatická,,https://www.sauto.cz/osobni/detail/nissan/car/161443621,2026-02-03 14:33:04
161817086,fiat,"Fiat Punto EVO, 1,3 Multijet",89900,2011,154656,Nafta,Manuální,,https://www.sauto.cz/osobni/detail/fiat/car/161817086,2026-02-03 14:31:45
162700556,mercedes-benz,"Mercedes-Benz Třídy C, 220D*AMG*4M*CZ*LED*9G",679990,2016,87510,Nafta,Automatická,,https://www.sauto.cz/osobni/detail/mercedes-benz/car/162700556,2026-02-03 14:26:28
162890316,kia,"Kia Sportage, 1.7CRDi Exclusive ČR Tažné zař",268000,2016,158000,Nafta,Manuální,,https://www.sauto.cz/osobni/detail/kia/car/162890316,2026-02-03 14:28:04
163947778,honda,"Honda HR-V, 1.5e:HEV Advance",689900,2025,10,Hybridní,Automatická,,https://www.sauto.cz/osobni/detail/honda/car/163947778,2026-02-03 14:32:39
164393818,fiat,"Fiat Ducato, 3,0   POVER",285000,2011,184000,Nafta,Manuální,,https://www.sauto.cz/osobni/detail/fiat/car/164393818,2026-02-03 14:31:51
164410126,nissan,"Nissan Note, 1,4 16V 65kW * KLIMATIZACE*",79900,2007,168631,Benzín,Manuální,,https://www.sauto.cz/osobni/detail/nissan/car/164410126,2026-02-03 14:33:04
164583693,fiat,"Fiat 500 Abarth, 132 kW - competizione",199000,2014,121300,Benzín,Manuální,,https://www.sauto.cz/osobni/detail/fiat/car/164583693,2026-02-03 14:31:27
164612416,nissan,"Nissan Juke, 1.0 114k DCT N-Connecta+Cold",529800,2025,10,Benzín,Automatická,,https://www.sauto.cz/osobni/detail/nissan/car/164612416,2026-02-03 14:33:04
165128706,fiat,"Fiat Tipo, 1.6 MJET 120K DDCT S-Design",339600,2019,113119,Nafta,Automatická,,https://www.sauto.cz/osobni/detail/fiat/car/165128706,2026-02-03 14:31:49
165397836,subaru,"Subaru Forester, 2.0 110 kw - servisní historie",209000,2011,152000,Benzín,Manuální,,https://www.sauto.cz/osobni/detail/subaru/car/165397836,2026-02-03 14:46:17
165468386,audi,"Audi A8, 4,2 Long - Vládní vůz",159000,2007,265440,Benzín,Automatická,,https://www.sauto.cz/osobni/detail/audi/car/165468386,2026-02-03 14:25:58
165678521,subaru,"Subaru Impreza, 1,6i*4X4*VYHŘ.SEDADLA*73TKM!!!",98000,2007,72818,Benzín,,,https://www.sauto.cz/osobni/detail/subaru/car/165678521,2026-02-03 14:46:17
165968186,mercedes-benz,"Mercedes-Benz SL, V8 225kw cabrio",500000,2004,149898,Benzín,Automatická,,https://www.sauto.cz/osobni/detail/mercedes-benz/car/165968186,2026-02-03 14:26:49
