brand,details,price,year,mileage,fuel,gearbox,power
renault,Serviska cebia VIN MAILEM,79000,2010,223000,Nafta,Automatická,-1.0
subaru,"2,0 Active Combi, nová spojka",77000,2009,189704,Nafta,Manuální,-1.0
nissan,1.9 dCi First Class,40000,2003,207000,Nafta,Manuální,-1.0
nissan,2.5 DCI 140 kw 4x4 7 MÍST,435600,2011,159000,Nafta,Manuální,140.0
audi,"1.8I, TOP STAV!!!",159000,1991,189000,Benzín,Unknown,-1.0
peugeot,"308 ACTIVE 1,6 e-hdi 115",149999,2015,160050,Nafta,Manuální,-1.0
mercedes-benz,"200i,kompressor,Elegance",199000,1997,122624,Benzín,Manuální,-1.0
fiat,1.1i 60CL,85600,1983,173150,Benzín,Manuální,-1.0
subaru,2.5 Touring Hnědá kůže 2025,1199000,2026,0,Benzín,Automatická,-1.0
subaru,2.5 Comfort+kůže 2025,1049000,2026,0,Benzín,Automatická,-1.0
fiat,"1,3 MULTIJET",48000,2007,159765,Nafta,Manuální,-1.0
subaru,2.0i Sport.4x4.Klima.Závěs,99000,2005,154482,Benzín,Manuální,-1.0
fiat,1.9 TD SX DIGIKLIMA,84900,1996,180450,Nafta,Manuální,-1.0
nissan,"1,0i",69999,2009,176600,Benzín,Manuální,-1.0
subaru,2.0i.AWD.Dg.klima.Rozvody,49900,2002,291768,Benzín,Manuální,-1.0
renault,1.5dCi 63kW+KLIMA,44000,2006,150692,Nafta,Manuální,63.0
subaru,"2,0TD",119900,2010,228000,Nafta,Manuální,-1.0
honda,2.0i-Vtec.7.Míst.Kuže.115kw,65000,2003,231635,Benzín,Manuální,115.0
fiat,"1,6 JTD  LIVING - klima -ALU",199990,2014,70798,Nafta,Manuální,-1.0
honda,1.5e:HEV Crosstar Advance,599900,2026,10,Hybridní,Automatická,-1.0
honda,1.5e:HEV Advance,569900,2026,10,Hybridní,Automatická,-1.0
renault,2l benzin  cebia vin maile,49000,2009,260000,Benzín,Manuální,-1.0
honda,1.5 e:HEV Hybrid Advance,569900,2026,10,Hybridní,Automatická,-1.0
subaru,"2,0 Alpine DVD Navigace  X ACT",119900,2008,143109,LPG + benzín,Manuální,-1.0
subaru,"2,0i AWD AT",305000,2014,102000,Benzín,Automatická,-1.0
nissan,1.0 114k DCT N-Connecta+cold,504800,2025,1,Benzín,Automatická,-1.0
bmw,"5,6 850 CSI 280 kW 1. Majitel",1999999,1992,146800,Benzín,Manuální,280.0
ford,800 HP !! Kompresor,725000,2018,10000,Benzín,Automatická,-1.0
mercedes-benz,"55 AMG 5,5 CZ 30'900km Serv.kn",2499999,2001,30900,Benzín,Automatická,-1.0
fiat,"TwinAir TURBO, 0.9T,63kW(86PS)",154000,2012,48566,Benzín,Manuální,63.0
subaru,"2,5i TOURING  MY25.5",1315000,2025,15,Benzín,Automatická,-1.0
subaru,"2,5i TOURING MY25.5",1315000,2025,15,Benzín,Automatická,-1.0
subaru,2.5 Touring tmavá kůže 2025,1199000,2026,0,Benzín,Automatická,-1.0
renault,7 míst cebia,69000,2010,237000,Nafta,Automatická,-1.0
hyundai,"1,6 GDi Trikolor,1.majitel",389900,2020,89200,Benzín,Manuální,-1.0
hyundai,"T-GDi 4x4 ICEBRAKER, tažné z.",439900,2020,68700,Benzín,Manuální,-1.0
nissan,"2,5 DCI 4x4 7míst",329900,2012,136805,Nafta,Manuální,-1.0
subaru,"2,5i TOURING MY25.5",1315000,2025,11,Benzín,Automatická,-1.0
opel,1.7 CDTi,169000,2013,159000,Nafta,Manuální,-1.0
fiat,"1,2 i  Lounge / klima / LPG",139900,2013,153633,LPG + benzín,Manuální,-1.0
fiat,"2,0 JTD 8MÍST *KLIMATIZACE *",149900,2007,260724,Nafta,Manuální,-1.0
nissan,1.3 158 Xtr N-Connecta,695700,2025,1,Benzín,Automatická,-1.0
ford,GT levný provoz LPG,535000,2016,120000,LPG + benzín,Automatická,-1.0
nissan,"2,0 dci 4x4+AUTOMAT",114999,2007,199856,Nafta,Automatická,-1.0
renault,CEBIA 7 MIST VIN MAILEM,119000,2012,229000,Nafta,Automatická,-1.0
nissan,"1,5",209900,2011,160491,Nafta,Manuální,-1.0
ford,1.6 TDCi  70 KW,109900,2013,174402,Nafta,Manuální,70.0
nissan,2.0  104 kw 4x4 1. majitel,99000,2009,155000,Benzín,Manuální,104.0
honda,Tourer 2.2i-CTDi Sport,84000,2006,326000,Nafta,Manuální,-1.0
mercedes-benz,43 AMG | DESIGNO | PERFORMANCE,1249000,2019,111000,Benzín,Automatická,-1.0
fiat,"1,2 8V",69900,2010,126127,Benzín,Manuální,-1.0
nissan,"2,0",219900,2012,107447,Nafta,Automatická,-1.0
fiat,"1,3 Multijet",89900,2011,154656,Nafta,Manuální,-1.0
mercedes-benz,220D*AMG*4M*CZ*LED*9G,679990,2016,87510,Nafta,Automatická,-1.0
kia,1.7CRDi Exclusive ČR Tažné zař,268000,2016,158000,Nafta,Manuální,-1.0
honda,1.5e:HEV Advance,689900,2025,10,Hybridní,Automatická,-1.0
fiat,"3,0   POVER",285000,2011,184000,Nafta,Manuální,-1.0
nissan,"1,4 16V 65kW * KLIMATIZACE*",79900,2007,168631,Benzín,Manuální,65.0
fiat,132 kW - competizione,199000,2014,121300,Benzín,Manuální,132.0
nissan,1.0 114k DCT N-Connecta+Cold,529800,2025,10,Benzín,Automatická,-1.0
fiat,1.6 MJET 120K DDCT S-Design,339600,2019,113119,Nafta,Automatická,-1.0
subaru,2.0 110 kw - servisní historie,209000,2011,152000,Benzín,Manuální,110.0
audi,"4,2 Long - Vládní vůz",159000,2007,265440,Benzín,Automatická,-1.0
subaru,"1,6i*4X4*VYHŘ.SEDADLA*73TKM!!!",98000,2007,72818,Benzín,Unknown,-1.0
mercedes-benz,V8 225kw cabrio,485000,2004,149898,Benzín,Automatická,225.0
fiat,1.6 16V 4x4 UZÁVĚRKA,134999,2009,183400,Benzín,Manuální,-1.0
subaru,"1,6 4x4",299900,2015,149487,Benzín,Automatická,-1.0
seat,"1,2 TSi 77KW, FR, SERVISNÍ KN.",125000,2013,149631,Benzín,Manuální,77.0
peugeot,"1.6 HDI, TOTÁLNÍ VYPRODEJ!!!!!",129999,2014,188860,Nafta,Manuální,-1.0
nissan,"1,2 -  85054 km",159900,2016,85054,Benzín,Manuální,-1.0
nissan,"1,0",35900,2010,297160,Benzín,Manuální,-1.0
citroen,"2,0 HDI 16V Exclusive",59000,2011,287906,Nafta,Manuální,-1.0
subaru,"2,0 4WD, AT, benzín",359000,2015,106700,Benzín,Automatická,-1.0
fiat,"1,4 16V 66kW SPORT* AUTO A/C",65000,2008,146282,Benzín,Manuální,66.0
hyundai,FB TURBO  SMART NAVI,449900,2025,4900,Benzín,Manuální,-1.0
audi,3.0 TDi PANORAMA NAVI,169900,2010,263800,Nafta,Automatická,-1.0
honda,"1,2  05032027",184900,2014,135122,Benzín,Manuální,-1.0
renault,1.2i EXTREME 1.MAJITEL,219000,2015,84000,Benzín,Manuální,-1.0
